,Promedio 60-64,Azteca 60-64,Banamex 60-64,Coppel 60-64,Inbursa 60-64,Invercap 60-64,PensionISSSTE 60-64,Principal 60-64,Profuturo 60-64,SURA 60-64,XXI Banorte 60-64,Promedio 65-69,Azteca 65-69,Banamex 65-69,Coppel 65-69,Inbursa 65-69,Invercap 65-69,PensionISSSTE 65-69,Principal 65-69,Profuturo 65-69,SURA 65-69,XXI Banorte 65-69,Promedio 70-74,Azteca 70-74,Banamex 70-74,Coppel 70-74,Inbursa 70-74,Invercap 70-74,PensionISSSTE 70-74,Principal 70-74,Profuturo 70-74,SURA 70-74,XXI Banorte 70-74,Promedio 75-79,Azteca 75-79,Banamex 75-79,Coppel 75-79,Inbursa 75-79,Invercap 75-79,PensionISSSTE 75-79,Principal 75-79,Profuturo 75-79,SURA 75-79,XXI Banorte 75-79,Promedio 80-84,Azteca 80-84,Banamex 80-84,Coppel 80-84,Inbursa 80-84,Invercap 80-84,PensionISSSTE 80-84,Principal 80-84,Profuturo 80-84,SURA 80-84,XXI Banorte 80-84,Promedio 85-89,Azteca 85-89,Banamex 85-89,Coppel 85-89,Inbursa 85-89,Invercap 85-89,PensionISSSTE 85-89,Principal 85-89,Profuturo 85-89,SURA 85-89,XXI Banorte 85-89,Promedio 90-94,Azteca 90-94,Banamex 90-94,Coppel 90-94,Inbursa 90-94,Invercap 90-94,PensionISSSTE 90-94,Principal 90-94,Profuturo 90-94,SURA 90-94,XXI Banorte 90-94,Promedio 95-99,Azteca 95-99,Banamex 95-99,Coppel 95-99,Inbursa 95-99,Invercap 95-99,PensionISSSTE 95-99,Principal 95-99,Profuturo 95-99,SURA 95-99,XXI Banorte 95-99
Renta Variable Nacional,3.61,4.84,1.08,5.84,8.94,2.93,5.77,3.36,3,3.2,3.32,5.04,7.21,2.5,6.91,8.46,3.59,5.62,4.3,5.39,4.37,5.93,6.41,7.64,4.2,7.51,10.28,4.08,7.14,5.02,6.94,5.48,8.12,7.15,7.58,4.52,8.08,11.71,5.4,8.58,5.5,7.93,6.35,8.97,7.82,8.33,5.44,8.56,12.24,6,9.87,6.09,8.55,7.14,9.48,8.09,9,5.31,8.39,12.76,6.36,11.12,6.57,8.97,7.49,9.89,8.22,10.29,5.15,8.07,13.47,6.4,11.76,7.07,9.34,7.66,10.16,8.5,11.63,4.71,7.87,14.53,6.39,11.72,7.45,9.63,7.8,10.36
Renta Variable Internacional,7.72,12.32,9.02,7.22,7.59,6.54,11.05,3.69,6.55,8.19,6.52,11.86,18.3,11.73,10.16,5.74,12.48,15.07,10.28,10.48,12.71,12.45,14,19.55,14.29,12.52,7.01,14.1,16.21,12.43,12.38,14.06,15.93,14.5,19.4,13.67,15.83,8.92,15.71,16.93,12.61,11.35,15.82,16.79,14.57,19.2,14.46,15.86,9.92,16.26,16.78,12.95,10.2,15.68,16.81,15.38,19.09,17.65,15.99,9.45,16.52,16.52,11.72,9.89,16.21,16.21,15.4,19.17,17.57,15.96,8.73,17.75,16.01,12.8,9.92,15.66,16.09,15.44,18.93,17.72,16.14,8.36,18.45,15.39,15.19,10.58,16,14.22
Mercancias,1.01,0,0.53,0,0,0,0,0,4.49,0,0.68,1.28,0,1.83,0,0,0,0,0,4.12,0,1.27,1.14,0,0.31,0,0,0,0,0,3.73,0,1.68,1.1,0,0.25,0,0,0,0,0,3.34,0,1.95,1.01,0,0.24,0,0,0,0,0,3.09,0,2.11,0.81,0,0.12,0,0,0,0,0,2.9,0,2.23,0.68,0,0.12,0,0,0,0,0,2.75,0,2.29,0.65,0,0.2,0,0,0,0,0,2.6,0,2.33
Deuda Privada Nacional,15.36,18.5,12.39,36.25,31.27,19.21,9.73,17.43,12.23,20.37,11.19,11.93,16.18,14.04,22.28,16.18,10.82,8.4,7.93,9.82,14.62,9.89,12.59,16.39,13.9,22.92,17.32,12.36,9.06,8.09,9.12,15.72,11.31,12.48,16.63,12.91,23,18.38,12.12,12.99,7.68,7.84,15.22,11.89,12.46,16.7,11.48,23.43,16.63,11.95,13.99,8.02,6.9,15.64,12.14,12.89,16.47,11.38,23.42,14.83,11.16,14.04,7.33,5.95,15.72,12.28,13.3,16.05,11.4,22.85,13.99,8.59,13.87,6.49,5.19,15.69,12.34,13.13,15.03,11.01,21.59,12.97,6.28,9.54,6.21,4.04,16.04,11.96
Estructurados,5.98,0,4.61,6.13,0.07,4.25,7.17,14.53,2.14,7.56,7.63,6.48,6.7,3.87,12.77,4.27,3.31,7.54,8.57,2.44,8.58,8.67,8.47,8.34,7.41,13.87,6.35,7.64,9.62,10.31,5.24,9.15,10.4,9.93,9.53,9.29,13.92,7.57,8.17,10.22,11.55,7.15,10.86,11.94,10,9.63,9.39,13.12,6.44,8.09,10.12,12.23,7.16,11.03,12.13,9.7,9.19,9.7,12.83,4.75,7.56,9.63,11.21,6.19,10.74,11.54,9.34,8.87,10.29,11.69,2.8,7.34,8.76,9.33,5.38,10.57,10.94,7.18,7.92,10.33,7.63,0.8,5.26,6.44,6.12,2.16,9.44,9.75
FIBRAS,3.22,4.77,1.87,4.94,4.27,3.18,5.01,2.87,1.01,3.08,4.39,2.8,3.74,2.17,5.95,3.68,2.28,3.25,2.17,1.06,2.97,3.9,2.86,3.74,3.07,5.87,3.61,2.65,3.4,2.32,1.28,3.07,3.35,2.9,3.88,2.8,5.87,3.97,2.77,3.91,2.34,1.45,3.13,3.18,3.14,4.04,3.53,5.91,4.07,2.6,4.24,2.29,1.6,3.25,3.07,3.33,4.02,3.33,6.08,4.18,2.08,4.36,2.31,1.7,3.26,3.15,3.53,3.67,2.91,6.46,4.43,1.4,4.22,2.16,2.02,3.33,3.42,3.58,2.8,2.14,6.95,3.72,0.78,3.36,2.14,1.78,3.31,3.93
Deuda Internacional,1.3,0,0.94,0,6.31,2.92,1.88,0.89,0.93,1.64,0.59,1.04,0,0.63,0,4.58,0.32,2.38,1.99,0.34,1.92,0.24,0.78,0,0.45,0,3.77,0.24,2.53,1.52,0.28,1.38,0.23,0.52,0,0.26,0,3.19,0.25,2.06,1.36,0.25,0.64,0.22,0.4,0,0.37,0,2.53,0.05,1.93,1.34,0.16,0.16,0.2,0.36,0,0.39,0,2.26,0.02,1.81,1.68,0.09,0.03,0.16,0.3,0,0.39,0,2.1,0.02,1.78,1.81,0.05,0.02,0.12,0.19,0,0.28,0,1.41,0.03,1.77,1.69,0.02,0.01,0.08
Deuda Gubernamental,58.76,58.26,68.59,36.53,36.8,56.09,55.65,53.56,65.96,53.44,62.59,56.7,47.43,62.72,37,54.71,61.4,53.72,59.29,64.66,52.7,53.61,51.29,42.84,55.7,33.15,49.31,53.81,48.76,56.03,58.87,48.42,46.85,49.22,41.44,55.99,29.51,45.19,50.52,43.52,54.16,57.91,46.57,42.95,48.13,40.54,54.83,29.31,45.97,49.84,39.8,51.67,59.11,45.28,41.66,46.69,40.47,51.65,29.01,47.9,51,38.74,53.05,60.43,44.68,41.54,46.53,40.19,51.82,30.53,50.07,55.28,39.89,54.49,61.45,45.22,40.84,47.66,40.79,53.19,35.16,53.84,59.31,46.25,53.58,64.35,45.36,37.87
Otros Activos,3.04,1.31,0.96,3.1,4.76,4.87,3.74,3.67,3.7,2.51,3.09,2.87,0.44,0.52,4.93,2.4,5.79,4.03,5.47,1.7,2.13,4.03,2.46,1.5,0.67,4.17,2.34,5.13,3.29,4.28,2.17,2.73,2.13,2.2,1.54,0.31,3.78,1.07,5.06,1.78,4.8,2.78,1.41,2.1,2.47,1.57,0.24,3.81,2.2,5.2,3.27,5.41,3.21,1.81,2.39,2.76,1.75,0.48,4.28,3.88,5.29,3.79,6.13,3.88,1.87,2.99,2.71,1.75,0.33,4.43,4.42,3.22,3.7,5.83,3.9,1.84,3.8,3.67,2.9,0.41,4.66,4.37,3.51,5.53,7.61,4.85,2.04,9.5
Comisiones,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55,,0.55,0.55,0.55,0.55,0.55,0.52,0.55,0.55,0.55,0.55