base,quote,pair,yahoo_symbol,method
AUD,BRL,AUD/BRL,AUDBRL=X,direct
AUD,CAD,AUD/CAD,AUDCAD=X,direct
AUD,CHF,AUD/CHF,AUDCHF=X,direct
AUD,CNY,AUD/CNY,AUDCNY=X,direct
AUD,COP,AUD/COP,AUDCOP=X,direct
AUD,EUR,AUD/EUR,AUDEUR=X,direct
AUD,GBP,AUD/GBP,AUDGBP=X,direct
AUD,JPY,AUD/JPY,AUDJPY=X,direct
AUD,MXN,AUD/MXN,AUDMXN=X,direct
AUD,NOK,AUD/NOK,AUDNOK=X,direct
AUD,PEN,AUD/PEN,AUDPEN=X,direct
AUD,SEK,AUD/SEK,AUDSEK=X,direct
AUD,USD,AUD/USD,AUDUSD=X,direct
AUD,ZAR,AUD/ZAR,AUDZAR=X,direct
BRL,AUD,BRL/AUD,BRLAUD=X,direct
BRL,CAD,BRL/CAD,CADBRL=X,inverse
BRL,CHF,BRL/CHF,BRLCHF=X,direct
BRL,CNY,BRL/CNY,BRLCNY=X,direct
BRL,COP,BRL/COP,BRLCOP=X,direct
BRL,EUR,BRL/EUR,BRLEUR=X,direct
BRL,GBP,BRL/GBP,BRLGBP=X,direct
BRL,JPY,BRL/JPY,BRLJPY=X,direct
BRL,MXN,BRL/MXN,BRLMXN=X,direct
BRL,NOK,BRL/NOK,BRLNOK=X,direct
BRL,SEK,BRL/SEK,BRLSEK=X,direct
BRL,USD,BRL/USD,BRLUSD=X,direct
BRL,ZAR,BRL/ZAR,BRLZAR=X,direct
CAD,AUD,CAD/AUD,CADAUD=X,direct
CAD,BRL,CAD/BRL,CADBRL=X,direct
CAD,CHF,CAD/CHF,CADCHF=X,direct
CAD,CNY,CAD/CNY,CADCNY=X,direct
CAD,COP,CAD/COP,CADCOP=X,direct
CAD,EUR,CAD/EUR,CADEUR=X,direct
CAD,GBP,CAD/GBP,CADGBP=X,direct
CAD,JPY,CAD/JPY,CADJPY=X,direct
CAD,MXN,CAD/MXN,CADMXN=X,direct
CAD,NOK,CAD/NOK,CADNOK=X,direct
CAD,PEN,CAD/PEN,CADPEN=X,direct
CAD,SEK,CAD/SEK,CADSEK=X,direct
CAD,USD,CAD/USD,CADUSD=X,direct
CAD,ZAR,CAD/ZAR,CADZAR=X,direct
CHF,AUD,CHF/AUD,CHFAUD=X,direct
CHF,BRL,CHF/BRL,CHFBRL=X,direct
CHF,CAD,CHF/CAD,CHFCAD=X,direct
CHF,CNY,CHF/CNY,CHFCNY=X,direct
CHF,COP,CHF/COP,CHFCOP=X,direct
CHF,EUR,CHF/EUR,CHFEUR=X,direct
CHF,GBP,CHF/GBP,CHFGBP=X,direct
CHF,JPY,CHF/JPY,CHFJPY=X,direct
CHF,MXN,CHF/MXN,CHFMXN=X,direct
CHF,NOK,CHF/NOK,CHFNOK=X,direct
CHF,PEN,CHF/PEN,CHFPEN=X,direct
CHF,SEK,CHF/SEK,CHFSEK=X,direct
CHF,USD,CHF/USD,CHFUSD=X,direct
CHF,ZAR,CHF/ZAR,CHFZAR=X,direct
CNY,AUD,CNY/AUD,CNYAUD=X,direct
CNY,BRL,CNY/BRL,CNYBRL=X,direct
CNY,CAD,CNY/CAD,CNYCAD=X,direct
CNY,CHF,CNY/CHF,CNYCHF=X,direct
CNY,EUR,CNY/EUR,CNYEUR=X,direct
CNY,GBP,CNY/GBP,CNYGBP=X,direct
CNY,JPY,CNY/JPY,CNYJPY=X,direct
CNY,SEK,CNY/SEK,SEKCNY=X,inverse
CNY,USD,CNY/USD,CNYUSD=X,direct
CNY,ZAR,CNY/ZAR,CNYZAR=X,direct
COP,AUD,COP/AUD,AUDCOP=X,inverse
COP,BRL,COP/BRL,COPBRL=X,direct
COP,CAD,COP/CAD,CADCOP=X,inverse
COP,CHF,COP/CHF,CHFCOP=X,inverse
COP,EUR,COP/EUR,COPEUR=X,direct
COP,GBP,COP/GBP,COPGBP=X,direct
COP,JPY,COP/JPY,COPJPY=X,direct
COP,USD,COP/USD,COPUSD=X,direct
EUR,AUD,EUR/AUD,EURAUD=X,direct
EUR,BRL,EUR/BRL,EURBRL=X,direct
EUR,CAD,EUR/CAD,EURCAD=X,direct
EUR,CHF,EUR/CHF,EURCHF=X,direct
EUR,CNY,EUR/CNY,EURCNY=X,direct
EUR,COP,EUR/COP,EURCOP=X,direct
EUR,GBP,EUR/GBP,EURGBP=X,direct
EUR,JPY,EUR/JPY,EURJPY=X,direct
EUR,MXN,EUR/MXN,EURMXN=X,direct
EUR,NOK,EUR/NOK,EURNOK=X,direct
EUR,PEN,EUR/PEN,EURPEN=X,direct
EUR,SEK,EUR/SEK,EURSEK=X,direct
EUR,USD,EUR/USD,EURUSD=X,direct
EUR,ZAR,EUR/ZAR,EURZAR=X,direct
GBP,AUD,GBP/AUD,GBPAUD=X,direct
GBP,BRL,GBP/BRL,GBPBRL=X,direct
GBP,CAD,GBP/CAD,GBPCAD=X,direct
GBP,CHF,GBP/CHF,GBPCHF=X,direct
GBP,CNY,GBP/CNY,GBPCNY=X,direct
GBP,COP,GBP/COP,GBPCOP=X,direct
GBP,EUR,GBP/EUR,GBPEUR=X,direct
GBP,JPY,GBP/JPY,GBPJPY=X,direct
GBP,MXN,GBP/MXN,GBPMXN=X,direct
GBP,NOK,GBP/NOK,GBPNOK=X,direct
GBP,PEN,GBP/PEN,GBPPEN=X,direct
GBP,SEK,GBP/SEK,GBPSEK=X,direct
GBP,USD,GBP/USD,GBPUSD=X,direct
GBP,ZAR,GBP/ZAR,GBPZAR=X,direct
JPY,AUD,JPY/AUD,JPYAUD=X,direct
JPY,BRL,JPY/BRL,JPYBRL=X,direct
JPY,CAD,JPY/CAD,JPYCAD=X,direct
JPY,CHF,JPY/CHF,JPYCHF=X,direct
JPY,CNY,JPY/CNY,JPYCNY=X,direct
JPY,COP,JPY/COP,JPYCOP=X,direct
JPY,EUR,JPY/EUR,JPYEUR=X,direct
JPY,GBP,JPY/GBP,JPYGBP=X,direct
JPY,MXN,JPY/MXN,JPYMXN=X,direct
JPY,NOK,JPY/NOK,JPYNOK=X,direct
JPY,PEN,JPY/PEN,JPYPEN=X,direct
JPY,SEK,JPY/SEK,JPYSEK=X,direct
JPY,USD,JPY/USD,JPYUSD=X,direct
JPY,ZAR,JPY/ZAR,JPYZAR=X,direct
MXN,AUD,MXN/AUD,MXNAUD=X,direct
MXN,BRL,MXN/BRL,MXNBRL=X,direct
MXN,CAD,MXN/CAD,MXNCAD=X,direct
MXN,CHF,MXN/CHF,MXNCHF=X,direct
MXN,EUR,MXN/EUR,MXNEUR=X,direct
MXN,GBP,MXN/GBP,MXNGBP=X,direct
MXN,JPY,MXN/JPY,MXNJPY=X,direct
MXN,USD,MXN/USD,MXNUSD=X,direct
MXN,ZAR,MXN/ZAR,MXNZAR=X,direct
NOK,AUD,NOK/AUD,NOKAUD=X,direct
NOK,BRL,NOK/BRL,NOKBRL=X,direct
NOK,CAD,NOK/CAD,NOKCAD=X,direct
NOK,CHF,NOK/CHF,NOKCHF=X,direct
NOK,EUR,NOK/EUR,NOKEUR=X,direct
NOK,GBP,NOK/GBP,NOKGBP=X,direct
NOK,JPY,NOK/JPY,NOKJPY=X,direct
NOK,SEK,NOK/SEK,NOKSEK=X,direct
NOK,USD,NOK/USD,NOKUSD=X,direct
NOK,ZAR,NOK/ZAR,NOKZAR=X,direct
PEN,AUD,PEN/AUD,AUDPEN=X,inverse
PEN,CAD,PEN/CAD,CADPEN=X,inverse
PEN,CHF,PEN/CHF,CHFPEN=X,inverse
PEN,EUR,PEN/EUR,PENEUR=X,direct
PEN,GBP,PEN/GBP,PENGBP=X,direct
PEN,JPY,PEN/JPY,PENJPY=X,direct
PEN,USD,PEN/USD,PENUSD=X,direct
SEK,AUD,SEK/AUD,SEKAUD=X,direct
SEK,BRL,SEK/BRL,SEKBRL=X,direct
SEK,CAD,SEK/CAD,SEKCAD=X,direct
SEK,CHF,SEK/CHF,SEKCHF=X,direct
SEK,CNY,SEK/CNY,SEKCNY=X,direct
SEK,EUR,SEK/EUR,SEKEUR=X,direct
SEK,GBP,SEK/GBP,SEKGBP=X,direct
SEK,JPY,SEK/JPY,SEKJPY=X,direct
SEK,NOK,SEK/NOK,SEKNOK=X,direct
SEK,USD,SEK/USD,SEKUSD=X,direct
SEK,ZAR,SEK/ZAR,SEKZAR=X,direct
USD,AUD,USD/AUD,USDAUD=X,direct
USD,BRL,USD/BRL,USDBRL=X,direct
USD,CAD,USD/CAD,USDCAD=X,direct
USD,CHF,USD/CHF,USDCHF=X,direct
USD,CNY,USD/CNY,USDCNY=X,direct
USD,COP,USD/COP,USDCOP=X,direct
USD,EUR,USD/EUR,USDEUR=X,direct
USD,GBP,USD/GBP,USDGBP=X,direct
USD,JPY,USD/JPY,USDJPY=X,direct
USD,MXN,USD/MXN,USDMXN=X,direct
USD,NOK,USD/NOK,USDNOK=X,direct
USD,PEN,USD/PEN,USDPEN=X,direct
USD,SEK,USD/SEK,USDSEK=X,direct
USD,ZAR,USD/ZAR,USDZAR=X,direct
ZAR,AUD,ZAR/AUD,ZARAUD=X,direct
ZAR,BRL,ZAR/BRL,ZARBRL=X,direct
ZAR,CAD,ZAR/CAD,ZARCAD=X,direct
ZAR,CHF,ZAR/CHF,ZARCHF=X,direct
ZAR,CNY,ZAR/CNY,ZARCNY=X,direct
ZAR,EUR,ZAR/EUR,ZAREUR=X,direct
ZAR,GBP,ZAR/GBP,ZARGBP=X,direct
ZAR,JPY,ZAR/JPY,ZARJPY=X,direct
ZAR,MXN,ZAR/MXN,ZARMXN=X,direct
ZAR,NOK,ZAR/NOK,ZARNOK=X,direct
ZAR,SEK,ZAR/SEK,ZARSEK=X,direct
ZAR,USD,ZAR/USD,ZARUSD=X,direct
